nama,f,m
abramovi,0.0,1.0
abramovich,0.0,1.0
abran,0.0,7.0
abrani,0.0,9.0
abransyah,0.0,10.0
abrar,1.0,139.0
abrara,0.0,1.0
abrari,0.0,8.0
abrariati,1.0,0.0
abraruz,0.0,3.0
abraruzzahidin,0.0,2.0
abrary,0.0,2.0
abrasam,0.0,1.0
abreanti,1.0,0.0
abres,0.0,1.0
abrhisam,0.0,1.0
abri,1.0,8.0
abriadi,0.0,3.0
abriam,0.0,1.0
abrian,2.0,11.0
abriana,10.0,0.0
abriandi,0.0,1.0
abriandy,0.0,1.0
abriani,7.0,1.0
abrianna,3.0,0.0
abriansyah,0.0,17.0
abrianti,4.0,0.0
abrianto,0.0,14.0
abrianus,0.0,1.0
abriany,1.0,0.0
abriati,1.0,0.0
abrida,1.0,0.0
abriel,0.0,9.0
abriella,1.0,0.0
abriezaidan,0.0,1.0
abrihandoko,0.0,1.0
abriil,0.0,1.0
abrika,1.0,1.0
abril,0.0,4.0
abriliano,0.0,1.0
abrilio,0.0,1.0
abrillia,1.0,0.0
abrillian,0.0,1.0
abrina,11.0,0.0
abrini,1.0,0.0
abrisam,0.0,141.0
abrisham,0.0,3.0
abrisyah,0.0,1.0
abrisyam,0.0,12.0
abrito,0.0,1.0
abrius,0.0,1.0
abriya,1.0,0.0
abriyadi,0.0,2.0
abriyandi,0.0,1.0
abriyani,3.0,1.0
abriyansyah,0.0,1.0
abriyanti,4.0,0.0
abriyanto,0.0,7.0
abriysam,0.0,1.0
abriza,0.0,3.0
abrizal,0.0,4.0
abrizam,0.0,52.0
abrizan,0.0,1.0
abrizon,0.0,1.0
abromovic,0.0,1.0
abromovich,0.0,1.0
abroor,0.0,2.0
abror,3.0,51.0
abrori,0.0,23.0
abroro,1.0,0.0
abrorri,0.0,2.0
abrory,0.0,3.0
abrot,0.0,1.0
abrudin,0.0,1.0
abrul,0.0,1.0
abryal,0.0,1.0
abryl,0.0,1.0
absa,1.0,0.0
absadi,0.0,1.0
absah,2.0,0.0
absallom,0.0,1.0
absalom,0.0,7.0
absaloni,1.0,0.0
absan,0.0,1.0
absana,0.0,1.0
absar,1.0,6.0
absara,0.0,1.0
absarani,1.0,0.0
absari,5.0,2.0
absarina,1.0,0.0
absaroka,0.0,1.0
absawi,0.0,1.0
abshar,0.0,6.0
abshari,2.0,0.0
absharina,4.0,0.0
absharrazie,0.0,1.0
abshor,2.0,7.0
abshori,0.0,1.0
abson,0.0,2.0
absoneri,0.0,1.0
absor,0.0,4.0
absori,1.0,1.0
absuf,0.0,1.0
absya,0.0,1.0
absyafa,0.0,1.0
absyar,0.0,10.0
absyor,0.0,1.0
abtahiyya,1.0,0.0
abtamy,0.0,1.0
abtap,0.0,1.0
abtar,0.0,2.0
abthal,0.0,2.0
abu,15.0,452.0
abuamin,0.0,1.0
abuan,0.0,1.0
abubakar,7.0,41.0
abubakr,0.0,1.0
abubekar,0.0,2.0
abuchairi,0.0,1.0
abudabi,0.0,1.0
abudari,0.0,1.0
abudarin,0.0,1.0
abudarrahman,0.0,1.0
abudi,0.0,1.0
abudiansyah,0.0,1.0
abudianto,0.0,1.0
abudin,0.0,2.0
abudinsjah,0.0,1.0
abudulu,0.0,2.0
abudzar,1.0,2.0
abuhori,0.0,1.0
abuhurairah,0.0,1.0
abuimin,0.0,1.0
abujaeni,0.0,1.0
abuk,1.0,1.0
abukari,0.0,1.0
abukasan,0.0,1.0
abukhaer,0.0,1.0
abukhori,0.0,1.0
abul,1.0,23.0
abulatif,1.0,1.0
abulcassis,0.0,1.0
abulhaer,0.0,1.0
abulhasan,0.0,1.0
abulinggi,0.0,1.0
